index,max_depth_cape,max_depth_frolic,max_depth_graz,max_depth_klaxon,max_depth_mahdism,max_depth_ochre,max_depth_pen,max_depth_portion,max_depth_scrub,max_depth_turning,status_cape,status_frolic,status_graz,status_klaxon,status_mahdism,status_ochre,status_pen,status_portion,status_scrub,status_turning,time_cape,time_frolic,time_graz,time_klaxon,time_mahdism,time_ochre,time_pen,time_portion,time_scrub,time_turning
s_split_47.smt2,,,,,,,,,,,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,299.98,299.99,299.98,299.98,299.99,299.98,299.98,299.99,299.99,299.99
s_split_48.smt2,30.0,,30.0,,,,2.0,30.0,2.0,30.0,unsat,timeout,unsat,timeout,timeout,timeout,sat,unsat,sat,unsat,57.96,299.99,57.98,299.98,299.99,299.98,0.02,72.02,0.02,61.56
s_split_49.smt2,15.0,,15.0,,,,2.0,15.0,2.0,15.0,unsat,timeout,unsat,timeout,timeout,timeout,sat,unsat,sat,unsat,9.23,299.99,9.27,299.98,299.99,299.98,0.03,9.29,0.02,9.49
s_split_50.smt2,,,,,,,2.0,,2.0,,timeout,timeout,timeout,timeout,timeout,timeout,sat,timeout,sat,timeout,299.99,299.99,299.99,299.98,299.99,299.98,0.03,299.99,0.02,299.99
s_split_51.smt2,12.0,,12.0,,181.0,181.0,2.0,12.0,2.0,12.0,unsat,timeout,unsat,timeout,unsat,unsat,sat,unsat,sat,unsat,4.83,299.99,4.92,299.98,258.83,219.05,0.02,4.94,0.02,5.01
s_split_52.smt2,146.0,56.0,10.0,56.0,146.0,146.0,146.0,10.0,146.0,146.0,unsat,unsat,unsat,unsat,unsat,unsat,unsat,unsat,unsat,unsat,150.38,8.65,1.24,8.07,163.19,151.6,149.63,1.24,196.99,153.97
s_split_53.smt2,,,,,,,2.0,,2.0,,timeout,timeout,timeout,timeout,timeout,timeout,sat,timeout,sat,timeout,299.98,299.99,299.99,299.98,299.99,299.98,0.02,299.99,0.02,299.99
s_split_54.smt2,10.0,108.0,10.0,108.0,106.0,106.0,2.0,10.0,2.0,10.0,unsat,unsat,unsat,unsat,unsat,unsat,sat,unsat,sat,unsat,2.12,138.2,2.11,101.52,95.92,90.43,0.02,2.21,0.02,2.11
s_split_55.smt2,3.0,76.0,3.0,76.0,31.0,31.0,2.0,3.0,2.0,3.0,sat,unsat,sat,unsat,unsat,unsat,sat,sat,sat,sat,0.05,22.52,0.05,18.86,2.21,2.23,0.02,0.04,0.02,0.04
s_split_56.smt2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,unsat,unsat,unsat,unsat,unsat,unsat,unsat,unsat,unsat,unsat,0.17,0.13,0.17,0.17,0.14,0.17,0.17,0.14,0.14,0.14
s_split_57.smt2,14.0,,14.0,,,,1.0,14.0,1.0,14.0,unsat,timeout,unsat,timeout,timeout,timeout,sat,unsat,sat,unsat,5.59,299.99,5.52,299.98,299.99,299.98,0.02,5.54,0.01,5.78
s_split_58.smt2,,,,,,,,,,,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,299.98,299.99,299.98,299.98,299.99,299.96,299.98,299.99,299.99,299.99
